Janeiro,,,,,,,,,,,,
Data do evento,Dia da semana,Evento,Categoria do Evento,Àrea demandante,Espaço,Horário,Nº convidados,Ticket Eventos,Ticket IT Bar,Ticket Facilities,Status,Link Drive
19/01/26,segunda-feira,Inteli Camp,Novos Produtos,Relacionamento Escolas,Térreo ,08h00 - 18h00,70,-,não se aplica,#REQ-44594,Finalizado,https://drive.google.com/drive/u/0/folders/1q1vlVtzag532Xrpxhm27iWrWNK4Wr9Uq
20/01/26,terça-feira,,,,,,,-,,,,
21/01/26,quarta-feira,,,,,,,-,,,,
22/01/26,quinta-feira,,,,,,,-,,,,
23/01/26,sexta-feira,,,,,,,-,,,,
20/01/26,terça-feira,Aula Aberta MBA,Captação|Awareness,Captação,A09 e A011,09h00 - 11h00,40,-,cancelado,cancelado,Cancelado,cancelado
20/01/26,terça-feira,Meet Up - Intercambio,Captação|Awareness,Admissões,Online,18h00 - 19h00,240,-,cancelado,cancelado,Cancelado,cancelado
26/01/26,segunda-feira,Onboarding,Engajamento,Admissões,Campus todo,08h00 - 18h00,300,--,#SR-44956,#REQ-44955,Finalizado,https://drive.google.com/drive/u/0/folders/1q9o6JX87A6aP6xvo0I3rsAwGyRTcwKpf
27/01/26,terça-feira,,,,,,,-,não se aplica,,,
28/01/26,quarta-feira,,,,,,,-,#SR-44957,,,
29/01/26,quinta-feira,,,,,,,-,#SR-44958,,,
30/01/26,sexta-feira,,,,,,,-,"
#SR-44959",,,
31/01/26,sábado,Aula Inaugural MBA,Novos Produtos,MBA,Auditório,08h00 - 14h00,50,-,#SR-42869,#REQ-44735,Finalizado,https://drive.google.com/drive/u/0/folders/1376F_webh6r61C3lObD0QCFNpmnTK-Zv
31/01/26,sábado,Exec - AI For Business -  AI4BT35,Novos Produtos,Exec,Atelies 09 e 11,08h00 - 18h00,50,-,#SR-44714,#REQ-44737,Finalizado,-
,,,,,,,,,,,,
Fevereiro,,,,,,,,,,,,
Data do evento,Dia da semana,Evento,,Àrea demandante,Espaço,Horário,Nº convidados,Ticket Eventos,Ticket IT Bar,Ticket Facilities,Status,Link Drive
02/02/26,segunda-feira,Volta às aulas ,Institucional,CDL,-,-,-,-,-,-,Finalizado,-
04/02/26,quarta-feira,Café com Sallouti,Institucional,Relações Institucionais,Auditório,08h00 - 10h00,45,-,#SR-45169,#REQ-45234,Finalizado,-
04/02/26,quarta-feira,Masterclass - Axxon Group,Novos Produtos,Exec,Estúdio,13h30-18h00,-,-,#SR-43591,x,Não se aplica,-
04/02/26,quarta-feira,Masterclass - Ifood,Novos Produtos,Exec,Auditório,13h00-18h30,40,-,#SR-44883,-,Finalizado,-
07/02/26,sábado,ISMART,Suporte,Cessão de Espaço,Auditório + Atelies,08h00-15h00,300,-,-,-,Cancelado,-
10/02/26,terça-feira,Aula Aberta AI for Education,Captação|Awareness,Captação ,Online,19h00-20h00,,-,#SR-45245,-,Finalizado,-
11/02/26,quarta-feira,Masterclass - Ifood,Novos Produtos,Exec,Estúdio,13h00-18h00,-,-,#SR-44884,x,Não se aplica,-
12/02/26,quinta-feira,Masterclass - Cardif,Novos Produtos,Exec,Estúdio,13h30-18h00,-,-,#SR-44750,x,Não se aplica,-
21/02/26,sábado,CAMPUS FECHADO - MANUTENÇÃO ELÉTRICA,,Facilities,Todos,07h00-21h00,-,-,-,x,Não se aplica,-
23/02/26,segunda-feira,Exec - Semana Formação de Trainees Ambev,Novos Produtos,Exec,Auditório,08h00 - 18h00,30,-,#SR-44778,x,Cancelado,-
24/02/26,terça-feira,Exec - Semana Formação de Trainees Ambev,Novos Produtos,Exec,Auditório,08h00 - 18h00,30,-,#SR-44778,x,Cancelado,-
25/02/26,quarta-feira,Exec - Semana Formação de Trainees Ambev,Novos Produtos,Exec,Atelie A13,08h00 - 18h00,30,-,#SR-44774,x,Cancelado,-
25/02/26,quarta-feira,Exec - AI For Business - AI4BT37 OPM,Novos Produtos,Exec,Auditório,08h00 - 18h00,60,-,#SR-44768,x,Cancelado,-
26/02/26,quinta-feira,Colação de Grau Protocolar Formandos 2025.2,Suporte,Acadêmico,Online,-,-,-,-,-,Não se aplica,-
26/02/26,quinta-feira,Exec - Semana Formação de Trainees Ambev,Novos Produtos,Exec,Auditório,08h00 - 18h00,30,-,#SR-44778,x,Cancelado,-
27/02/26,sexta-feira,Exec - Semana Formação de Trainees Ambev,Novos Produtos,Exec,Auditório,08h00 - 18h00,30,-,#SR-44778,x,Cancelado,-
28/02/26,sábado,AI For Education,Novos Produtos,Exec,A09 e A011,08h00 - 18h00,30,-,#SR-46004,#REQ-46006,Finalizado,-
28/02/26,sábado,Aula - MBA,Novos Produtos,MBA,Auditório,08h00 - 18h00,56,-,#SR-44770,#REQ-46008,Finalizado,-
28/02/26,sábado,Redbull,Suporte,Cessão de Espaço,Arquibancada,,150,-,#SR-46395,#REQ-46393,Finalizado,-
,,,,,,,,,,,,
Março,,,,,,,,,,,,
Data do evento,Dia da semana,Evento,,Àrea demandante,Espaço,Horário,Nº convidados,Ticket Eventos,Ticket IT Bar,Ticket Facilities,Status,Link Drive
02/03/26,segunda-feira,Gravação do Marketing Maker,Não se aplica,Marketing,Estúdio,13h00 - 14h00 ,-,-,-,-,Não se aplica,-
